Ten-Year Age Groups	Ten-Year Age Groups Code	Month	Month Code	Deaths
85+ years	85+	May, 2020 (provisional)	2020/05	9
85+ years	85+	Jun., 2020 (provisional)	2020/06	7
85+ years	85+	Jul., 2020 (provisional)	2020/07	12
85+ years	85+	Aug., 2020 (provisional)	2020/08	8
85+ years	85+	Sep., 2020 (provisional)	2020/09	9
85+ years	85+	Oct., 2020 (provisional)	2020/10	9
85+ years	85+	Nov., 2020 (provisional)	2020/11	4
85+ years	85+	Dec., 2020 (provisional)	2020/12	7
85+ years	85+	Jan., 2021 (provisional)	2021/01	7
85+ years	85+	Feb., 2021 (provisional)	2021/02	2
85+ years	85+	Mar., 2021 (provisional)	2021/03	10
85+ years	85+	Apr., 2021 (provisional)	2021/04	5
85+ years	85+	May, 2021 (provisional)	2021/05	7
85+ years	85+	Jun., 2021 (provisional)	2021/06	6
85+ years	85+	Jul., 2021 (provisional)	2021/07	9
85+ years	85+	Aug., 2021 (provisional)	2021/08	9
85+ years	85+	Sep., 2021 (provisional)	2021/09	1
85+ years	85+	Oct., 2021 (provisional)	2021/10	2
85+ years	85+	Nov., 2021 (provisional and partial)	2021/11	0
